目标图形,总材料数,总操作数,操作类型,被操作图形1,被操作图形2
1,1,0,BASE,0,0
2,1,0,BASE,0,0
3,1,0,BASE,0,0
4,1,0,BASE,0,0
5,1,0,BASE,0,0
6,1,0,BASE,0,0
7,1,0,BASE,0,0
8,1,0,BASE,0,0
9,1,0,BASE,0,0
10,1,0,BASE,0,0
11,1,0,BASE,0,0
12,1,0,BASE,0,0
13,1,0,BASE,0,0
14,1,0,BASE,0,0
15,1,0,BASE,0,0
17,2,1,ADD,1,1
18,3,2,RIGHT,86,0
19,2,1,ADD,1,3
21,2,1,ADD,1,5
22,4,3,ADD,4,18
23,2,1,ADD,1,7
24,4,3,R90,132,0
25,2,1,ADD,1,9
26,4,3,ADD,8,18
27,2,1,ADD,1,11
28,5,4,ADD,4,24
29,2,1,ADD,1,13
30,4,3,ADD,12,18
31,2,1,ADD,1,15
33,3,2,RIGHT,101,0
34,2,1,ADD,2,2
35,2,1,ADD,2,3
36,4,3,R90,18,0
37,4,3,ADD,4,33
38,2,1,ADD,2,6
39,2,1,ADD,2,7
41,4,3,ADD,8,33
42,2,1,ADD,2,10
43,2,1,ADD,2,11
44,5,4,R90,22,0
45,4,3,ADD,12,33
46,2,1,ADD,2,14
47,2,1,ADD,2,15
49,2,1,ADD,3,1
50,2,1,ADD,3,2
51,2,1,ADD,3,3
53,2,1,ADD,3,5
54,2,1,ADD,3,6
55,2,1,ADD,3,7
57,2,1,ADD,3,9
58,2,1,ADD,3,10
59,2,1,ADD,3,11
60,7,6,R90,150,0
61,2,1,ADD,3,13
62,2,1,ADD,3,14
63,2,1,ADD,3,15
66,4,3,R90,33,0
67,5,4,R90,41,0
68,2,1,ADD,4,4
69,2,1,ADD,4,5
70,2,1,ADD,4,6
71,2,1,ADD,4,7
72,3,2,LEFT,89,0
73,4,3,ADD,1,72
74,4,3,ADD,2,72
75,4,3,ADD,3,72
76,2,1,ADD,4,12
77,2,1,ADD,4,13
78,2,1,ADD,4,14
79,2,1,ADD,4,15
81,2,1,ADD,5,1
83,2,1,ADD,5,3
84,2,1,ADD,5,4
85,2,1,ADD,5,5
86,2,1,ADD,5,6
87,2,1,ADD,5,7
89,2,1,ADD,5,9
90,6,5,ADD,72,18
91,2,1,ADD,5,11
92,2,1,ADD,5,12
93,2,1,ADD,5,13
94,2,1,ADD,5,14
95,2,1,ADD,5,15
98,2,1,ADD,6,2
99,2,1,ADD,6,3
100,2,1,ADD,6,4
101,2,1,ADD,6,5
102,2,1,ADD,6,6
103,2,1,ADD,6,7
105,6,5,ADD,72,33
106,2,1,ADD,6,10
107,2,1,ADD,6,11
108,2,1,ADD,6,12
109,2,1,ADD,6,13
110,2,1,ADD,6,14
111,2,1,ADD,6,15
113,2,1,ADD,7,1
114,2,1,ADD,7,2
115,2,1,ADD,7,3
116,2,1,ADD,7,4
117,2,1,ADD,7,5
118,2,1,ADD,7,6
119,2,1,ADD,7,7
121,2,1,ADD,7,9
122,2,1,ADD,7,10
123,2,1,ADD,7,11
124,2,1,ADD,7,12
125,2,1,ADD,7,13
126,2,1,ADD,7,14
127,2,1,ADD,7,15
129,4,3,R90,72,0
131,5,4,R90,73,0
132,3,2,LEFT,149,0
133,4,3,ADD,1,132
134,4,3,ADD,2,132
135,4,3,ADD,3,132
136,2,1,ADD,8,8
137,2,1,ADD,8,9
138,2,1,ADD,8,10
139,2,1,ADD,8,11
140,2,1,ADD,8,12
141,2,1,ADD,8,13
142,2,1,ADD,8,14
143,2,1,ADD,8,15
145,2,1,ADD,9,1
147,2,1,ADD,9,3
149,2,1,ADD,9,5
150,6,5,ADD,132,18
151,2,1,ADD,9,7
152,2,1,ADD,9,8
153,2,1,ADD,9,9
154,2,1,ADD,9,10
155,2,1,ADD,9,11
156,2,1,ADD,9,12
157,2,1,ADD,9,13
158,2,1,ADD,9,14
159,2,1,ADD,9,15
162,2,1,ADD,10,2
163,2,1,ADD,10,3
165,6,5,ADD,132,33
166,2,1,ADD,10,6
167,2,1,ADD,10,7
168,2,1,ADD,10,8
169,2,1,ADD,10,9
170,2,1,ADD,10,10
171,2,1,ADD,10,11
172,2,1,ADD,10,12
173,2,1,ADD,10,13
174,2,1,ADD,10,14
175,2,1,ADD,10,15
177,2,1,ADD,11,1
178,2,1,ADD,11,2
179,2,1,ADD,11,3
181,2,1,ADD,11,5
182,2,1,ADD,11,6
183,2,1,ADD,11,7
184,2,1,ADD,11,8
185,2,1,ADD,11,9
186,2,1,ADD,11,10
187,2,1,ADD,11,11
188,2,1,ADD,11,12
189,2,1,ADD,11,13
190,2,1,ADD,11,14
191,2,1,ADD,11,15
195,7,6,R90,105,0
196,2,1,ADD,12,4
197,2,1,ADD,12,5
198,2,1,ADD,12,6
199,2,1,ADD,12,7
200,2,1,ADD,12,8
201,2,1,ADD,12,9
202,2,1,ADD,12,10
203,2,1,ADD,12,11
204,2,1,ADD,12,12
205,2,1,ADD,12,13
206,2,1,ADD,12,14
207,2,1,ADD,12,15
209,2,1,ADD,13,1
211,2,1,ADD,13,3
212,2,1,ADD,13,4
213,2,1,ADD,13,5
214,2,1,ADD,13,6
215,2,1,ADD,13,7
216,2,1,ADD,13,8
217,2,1,ADD,13,9
218,2,1,ADD,13,10
219,2,1,ADD,13,11
220,2,1,ADD,13,12
221,2,1,ADD,13,13
222,2,1,ADD,13,14
223,2,1,ADD,13,15
226,2,1,ADD,14,2
227,2,1,ADD,14,3
228,2,1,ADD,14,4
229,2,1,ADD,14,5
230,2,1,ADD,14,6
231,2,1,ADD,14,7
232,2,1,ADD,14,8
233,2,1,ADD,14,9
234,2,1,ADD,14,10
235,2,1,ADD,14,11
236,2,1,ADD,14,12
237,2,1,ADD,14,13
238,2,1,ADD,14,14
239,2,1,ADD,14,15
241,2,1,ADD,15,1
242,2,1,ADD,15,2
243,2,1,ADD,15,3
244,2,1,ADD,15,4
245,2,1,ADD,15,5
246,2,1,ADD,15,6
247,2,1,ADD,15,7
248,2,1,ADD,15,8
249,2,1,ADD,15,9
250,2,1,ADD,15,10
251,2,1,ADD,15,11
252,2,1,ADD,15,12
253,2,1,ADD,15,13
254,2,1,ADD,15,14
255,2,1,ADD,15,15
273,3,2,ADD,1,17
274,4,3,ADD,1,18
275,3,2,ADD,1,19
277,3,2,ADD,1,21
278,5,4,ADD,1,22
279,3,2,ADD,1,23
280,5,4,ADD,1,24
281,3,2,ADD,1,25
282,5,4,ADD,1,26
283,3,2,ADD,1,27
284,6,5,ADD,1,28
285,3,2,ADD,1,29
286,5,4,ADD,1,30
287,3,2,ADD,1,31
289,4,3,RIGHT,1381,0
290,4,3,ADD,18,2
291,4,3,ADD,18,3
293,5,4,ADD,4,289
294,4,3,ADD,18,6
295,4,3,ADD,18,7
297,5,4,ADD,8,289
298,4,3,ADD,18,10
299,4,3,ADD,18,11
301,5,4,ADD,12,289
302,4,3,ADD,18,14
303,4,3,ADD,18,15
305,3,2,ADD,1,49
306,3,2,ADD,1,50
307,3,2,ADD,1,51
309,3,2,ADD,1,53
310,3,2,ADD,1,54
311,3,2,ADD,1,55
312,7,6,ADD,18,24
313,3,2,ADD,1,57
314,3,2,ADD,1,58
